"date","latitude","longitude"
"2019-02-18","1.3677950963","103.8659522315"
"2019-02-17","1.3307584022","103.8429928891"
"2019-02-17","1.2815355518","103.8698343094"
"2019-02-17","1.2345872924","103.8937695447"
"2019-01-23","1.5882758126","103.7002551075"
"2019-01-10","1.5374100418","103.9692037392"
"2019-01-09","1.2956263538","103.9764051509"
"2019-01-06","1.4779534212","103.8299874853"
"2019-01-05","1.3745743874","103.9192977125"
"2019-01-01","1.3257521094","103.9382621938"
"2018-12-27","1.3866382333","103.9999956181"
"2018-12-16","1.2772394214","103.85100089"
"2018-12-07","1.2180902282","103.9969224806"
"2018-12-03","1.2091455346","103.9251860896"
"2018-11-13","1.3665684086","103.9161197105"
"2018-11-07","1.3553536938","103.8364140023"
"2018-11-04","1.5440423468","103.9134507611"
"2018-11-03","1.5096894305","103.8533780978"
"2018-11-03","1.32341965","103.7040951612"
"2018-10-20","1.2076789282","103.8088402437"
"2018-10-14","1.2660386512","103.9951131885"
"2018-10-13","1.576519309","103.9913641634"
"2018-09-23","1.2636321357","103.6043628918"
"2018-09-08","1.2190653437","103.9035364079"
"2018-09-08","1.2580778972","103.8376363908"
"2018-09-02","1.419234538","103.9555214841"
"2018-09-02","1.2262263493","103.8996799715"
"2018-08-31","1.3586486922","103.9815275818"
"2018-08-26","1.378103642","103.9061440759"
"2018-07-31","1.4038268488","103.8891986738"
"2018-07-26","1.2800010663","103.9385630928"
"2018-07-21","1.393205802","103.9432050093"
"2018-07-11","1.4780448104","103.8289082051"
"2018-07-11","1.4173001825","103.8183539523"
"2018-07-08","1.5173751985","103.6664524039"
"2018-07-07","1.3411843272","103.9441848677"
"2018-07-06","1.3420894719","103.8572461485"
"2018-06-11","1.5645870037","103.8213310834"
"2018-06-04","1.3882868166","103.9198764525"
"2018-05-26","1.2731792303","103.8581449738"
"2018-05-19","1.2149909571","103.975468901"
"2018-05-13","1.3495180975","103.8276402671"
"2018-05-13","1.3355416853","103.8845077407"
"2018-05-09","1.5006789145","103.8872867244"
"2018-04-28","1.2281937107","103.8406445868"
"2018-04-27","1.2576145644","103.8584528053"
"2018-04-20","1.3542472812","103.8661078722"
"2018-03-18","1.3066204587","103.9290557622"
"2018-03-16","1.319859695","103.8246288875"
"2018-03-12","1.2210161246","103.9004349594"
"2018-03-11","1.4597020081","103.8774102496"
"2018-03-11","1.4180451571","103.8557934336"
"2018-03-03","1.3675463871","103.9603489139"
"2018-03-02","1.3925160975","103.8664874225"
"2018-03-02","1.230669808","103.8438234194"
"2018-02-28","1.4994560787","103.9693272017"
"2018-02-28","1.4891368468","103.8543928216"
"2018-02-22","1.4722962039","103.8063238441"
"2018-02-21","1.5690637532","103.9937577419"
"2018-02-11","1.376133848","103.9537786526"
"2018-01-28","1.3929425283","103.8627895669"
"2018-01-21","1.2364893315","103.6195478542"
"2018-01-16","1.3122812646","103.9883697434"
"2018-01-06","1.2793659488","103.9723345355"
"2017-12-31","1.2060127293","103.9096506123"
"2017-12-27","1.2762029767","103.8221766076"
"2017-12-23","1.5596699492","103.6034299353"
